k_value,distance_algo,number_of_labels,training_test_pair,average_accuracy,std_accuracy,computation_time
7,manhattan,10,100_70,0.9482857142857142,0.008916849448187011,4.105452299118042
7,manhattan,7,150_20,0.9442857142857143,0.03238795442501322,0.8562963008880615
7,manhattan,7,100_70,0.9522448979591835,0.006902667153178685,2.0145347118377686
7,manhattan,5,150_20,0.9560000000000001,0.023323807579381187,0.49617838859558105
7,manhattan,5,100_70,0.9605714285714285,0.008741176309016182,1.0833537578582764
7,cosine,10,150_20,0.9359999999999999,0.033970575502926044,0.18732643127441406
7,cosine,10,100_70,0.914,0.01731815138364768,0.5843324661254883
7,cosine,7,150_20,0.9357142857142857,0.034106675389466636,0.10194587707519531
7,cosine,7,100_70,0.9175510204081633,0.014750457958851134,0.2502479553222656
7,cosine,5,150_20,0.942,0.03544009029333868,0.06350302696228027
7,cosine,5,100_70,0.9308571428571428,0.015053645568365134,0.0946805477142334
9,euclidean,10,150_20,0.921,0.040792156108742275,1.8415606021881104
9,euclidean,10,100_70,0.8928571428571429,0.018272316520365112,4.029951572418213
9,euclidean,7,150_20,0.9257142857142858,0.04030495994190252,0.8473148345947266
9,euclidean,7,100_70,0.9040816326530612,0.01612115727194406,2.0112991333007812
9,euclidean,5,150_20,0.9279999999999999,0.03762977544445354,0.43290114402770996
9,euclidean,5,100_70,0.916,0.02289995989658731,0.9762060642242432
9,manhattan,10,150_20,0.9369999999999999,0.033555923471125015,1.8492059707641602
9,manhattan,10,100_70,0.9434285714285714,0.009196272536817733,4.251416206359863
9,manhattan,7,150_20,0.9400000000000001,0.03487587318781058,0.8782303333282471
9,manhattan,7,100_70,0.9457142857142857,0.006136039338111386,1.9899742603302002
9,manhattan,5,150_20,0.9480000000000001,0.029257477676655576,0.432680606842041
9,manhattan,5,100_70,0.9560000000000001,0.016620616653998853,0.9923012256622314
9,cosine,10,150_20,0.921,0.040792156108742275,0.1801295280456543
9,cosine,10,100_70,0.8928571428571429,0.018272316520365112,0.42945075035095215
9,cosine,7,150_20,0.9257142857142858,0.04030495994190252,0.15080857276916504
9,cosine,7,100_70,0.9040816326530612,0.01612115727194406,0.18881607055664062
9,cosine,5,150_20,0.9279999999999999,0.03762977544445354,0.038123130798339844
9,cosine,5,100_70,0.916,0.02289995989658731,0.09395289421081543
11,euclidean,10,150_20,0.908,0.036551333764994136,1.8038301467895508
11,euclidean,10,100_70,0.8768571428571429,0.021235319058356624,4.110763072967529
11,euclidean,7,150_20,0.9200000000000002,0.03870347766898304,0.9995203018188477
11,euclidean,7,100_70,0.8865306122448982,0.02107482554028669,2.124913454055786
11,euclidean,5,150_20,0.9219999999999999,0.03655133376499411,0.4005544185638428
11,euclidean,5,100_70,0.9045714285714286,0.021119678414372914,1.0183875560760498
11,manhattan,10,150_20,0.929,0.037999999999999985,1.8590402603149414
11,manhattan,10,100_70,0.9368571428571428,0.010277774713488555,4.096657037734985
11,manhattan,7,150_20,0.9385714285714286,0.03016958868848981,0.8944125175476074
11,manhattan,7,100_70,0.9404081632653062,0.009778896776090593,2.0165507793426514
11,manhattan,5,150_20,0.9440000000000002,0.039799497484264784,0.40799403190612793
11,manhattan,5,100_70,0.952,0.01708561872882977,1.0178582668304443
11,cosine,10,150_20,0.908,0.036551333764994136,0.1623852252960205
11,cosine,10,100_70,0.8768571428571429,0.021235319058356624,0.6936571598052979
11,cosine,7,150_20,0.9200000000000002,0.03870347766898304,0.1477656364440918
11,cosine,7,100_70,0.8865306122448982,0.02107482554028669,0.22023510932922363
11,cosine,5,150_20,0.9219999999999999,0.03655133376499411,0.05007529258728027
11,cosine,5,100_70,0.9045714285714286,0.021119678414372914,0.1080930233001709
